TOPICS NAMES,UPVOTES >500
like,1493551
one,1074127
peopl,991620
get,924030
go,903351
time,873860
think,774999
know,622571
thing,572601
good,547009
say,513299
much,470966
see,466648
way,459760
work,449836
year,448737
still,427680
well,425652
day,420711
game,403425
look,392792
right,389075
back,388833
first,367185
play,352745
feel,328980
cant,328451
lot,306136
need,294411
shit,291553
fuck,289086
take,288675
better,286562
mean,276688
best,273976
great,264448
guy,264202
two,248427
love,245749
man,245738
use,241011
thought,235160
give,234690
person,233614
old,232660
littl,232250
tell,229882
bad,228634
life,227575
last,222264
id,216612
end,215034
school,201471
keep,200586
point,186465
part,185221
might,184872
read,182942
enough,181735
run,181688
name,173982
may,173786
team,170119
kind,167936
post,167889
thank,157598
hand,157405
real,155683
world,155283
noth,154947
start,154346
least,153286
girl,148573
ye,147134
money,146810
let,146073
kid,144344
nice,144244
show,142809
top,141840
hour,141787
word,141527
famili,141520
high,139363
home,138471
stori,138394
stop,137366
make,136986
bit,135506
place,134654
whole,134564
hope,133209
call,130344
left,128666
found,127468
idea,127101
problem,126430
stuff,121907
wrong,121400
reason,119683
second,112958
comment,112891
minut,110656
god,110344
hous,109915
season,109389
hate,109168
video,108632
job,108480
face,107198
fun,106612
hell,105767
fact,105664
head,104720
number,104691
gold,104156
state,103419
watch,103091
friend,103040
kill,101137
cool,100587
car,99732
night,98402
win,97341
dad,97340
front,97207
damn,96995
black,96707
guess,96093
half,95989
line,95853
room,95621
case,95125
free,95025
singl,94299
set,93233
talk,92885
chang,92196
sex,90884
turn,90402
must,90178
none,90085
small,89551
child,88705
system,88158
hit,88081
mind,88076
stand,87722
saw,87256
eye,86563
open,85618
player,85468
three,85231
side,85101
true,84545
care,83511
countri,83323
class,83023
today,82329
white,81757
wait,81697
week,81178
support,81039
leav,80678
drive,80414
coupl,80029
matter,79778
possibl,79517
deal,79239
middl,78595
son,78441
move,77842
movi,77367
question,77325
citi,76285
cours,76258
caus,75898
level,75332
stupid,75092
experi,74665
worth,74496
beat,73178
past,72811
link,72637
wish,72371
wife,71982
door,71114
water,69949
power,69156
bodi,69146
rest,68579
sens,68311
food,68114
fine,67179
pictur,66650
internet,65646
phone,65078
gener,65000
young,64921
check,64763
stay,64353
mother,64237
break,64036
thread,63859
drink,63697
ass,63372
amount,62748
light,62746
music,62597
woman,62353
